piste,X,Y,Z,formation
41,247714.869,6708793.141,19.389,Mr
42,247632.807,6708824.56,19.134,Mr
43,247618.373,6708865.166,23.815,Mr
44,247602.092,6708883.876,24.942,Mr
45,247608.004,6708932.185,28.127,Mr
47,247610.206,6708958.977,28.954,Mr
47,247610.206,6708958.977,28.654,Mr
48,247610.584,6708979.082,25.096,Mr
49,247596.434,6709028.329,24.085,Mr
5,247603.327,6708977.956,25.827,Mr
50,247601.41,6709081.791,25.591,Mr
70,247431.703,6709318.337,6.768,Mr
77,247474.076,6709181.941,27.19,Mr
78,247449.002,6709182.748,25.391,Mr
79,247495.113,6709210.768,22.923,Mr
80,247438.106,6709227.207,15.531,Mr
82,247689.314,6709106.452,19.583,Mr
83,247757.31,6708937.957,16.189,Mr
84,247614.8,6708864.376,23.831,Mr
85,247481.095,6709270.133,9.545,Mr
