id,X,Y,Z,formation
k588,245761,6709141,34.333,kallio
k589,245299,6709119,39.716,kallio
k590,245321,6709119,41.321,kallio
k591,245343,6709119,40.702,kallio
k592,245365,6709119,40.575,kallio
k593,245387,6709119,40.954,kallio
k594,245409,6709119,41.828,kallio
k595,245431,6709119,42.457,kallio
k596,245453,6709119,43.94,kallio
k597,245475,6709119,43.889,kallio
k598,245497,6709119,43.972,kallio
k599,245519,6709119,44.447,kallio
k600,245541,6709119,43.672,kallio
k601,245563,6709119,44.324,kallio
k602,245585,6709119,43.781,kallio
k603,245607,6709119,43.43,kallio
k604,245629,6709119,43.507,kallio
k605,245651,6709119,43.478,kallio
k606,245673,6709119,43.315,kallio
k607,245695,6709119,39.389,kallio
k608,245717,6709119,37.544,kallio
k609,245739,6709119,35.339,kallio
k610,245453,6709097,39.937,kallio
k611,245475,6709097,40.85,kallio
k612,245497,6709097,40.993,kallio
k613,245519,6709097,41.329,kallio
k614,245541,6709097,40.817,kallio
k615,245563,6709097,40.992,kallio
k616,245585,6709097,40.969,kallio
k617,245607,6709097,40.903,kallio
k618,245629,6709097,41.123,kallio
k619,245651,6709097,41.401,kallio
k620,245673,6709097,41.285,kallio
k621,245695,6709097,38.43,kallio
k622,245717,6709097,35.956,kallio
k623,245497,6709075,36.613,kallio
k624,245519,6709075,36.881,kallio
k625,245541,6709075,36.896,kallio
k626,245563,6709075,37.082,kallio
k627,245585,6709075,37.817,kallio
k628,245607,6709075,37.816,kallio
k629,245629,6709075,38.034,kallio
k630,245651,6709075,38.565,kallio
k631,245673,6709075,38.354,kallio
k632,245737,6711103,41.262,kallio
k633,245671,6711081,44.022,kallio
k634,245693,6711081,43.817,kallio
k635,245715,6711081,43.484,kallio
k636,245737,6711081,42.673,kallio
k637,245759,6711081,41.726,kallio
k638,245781,6711081,39.659,kallio
k639,245803,6711081,39.118,kallio
k640,245671,6711059,44.396,kallio
k641,245693,6711059,44.581,kallio
k642,245715,6711059,46.748,kallio
k643,245737,6711059,45.574,kallio
k644,245759,6711059,42.886,kallio
k645,245781,6711059,42.046,kallio
k646,245803,6711059,39.1,kallio
k647,245825,6711059,37.82,kallio
k648,245671,6711037,45.28,kallio
k649,245693,6711037,46.657,kallio
k650,245715,6711037,47.37,kallio
k651,245737,6711037,46.408,kallio
k652,245759,6711037,43.303,kallio
k653,245781,6711037,41.891,kallio
k654,245803,6711037,38.946,kallio
k655,245825,6711037,38.648,kallio
k656,245847,6711037,37.869,kallio
k657,245671,6711015,46.075,kallio
k658,245693,6711015,48.026,kallio
k659,245715,6711015,48.917,kallio
k660,245737,6711015,46.475,kallio
k661,245759,6711015,44.352,kallio
k662,245781,6711015,43.144,kallio
k663,245803,6711015,40.2,kallio
k664,245825,6711015,39.34,kallio
k665,245847,6711015,38.142,kallio
k666,245869,6711015,36.225,kallio
k667,245649,6710993,46.38,kallio
k668,245671,6710993,48.575,kallio
k669,245693,6710993,48.712,kallio
k670,245715,6710993,48.236,kallio
k671,245737,6710993,46.942,kallio
k672,245759,6710993,44.806,kallio
k673,245781,6710993,43.117,kallio
k674,245803,6710993,40.986,kallio
k675,245825,6710993,40.003,kallio
k676,245847,6710993,40.554,kallio
k677,245869,6710993,40.125,kallio
k678,245891,6710993,36.231,kallio
k679,245649,6710971,47.567,kallio
k680,245671,6710971,49.045,kallio
k681,245693,6710971,50.487,kallio
k682,245715,6710971,47.722,kallio
k683,245737,6710971,46.7,kallio
k684,245759,6710971,44.799,kallio
k685,245781,6710971,42.605,kallio
k686,245803,6710971,40.993,kallio
k687,245825,6710971,40.635,kallio
k688,245847,6710971,41.236,kallio
k689,245869,6710971,41.054,kallio
k690,245891,6710971,37.143,kallio
k691,245627,6710949,47.807,kallio
k692,245649,6710949,47.855,kallio
k693,245671,6710949,48.965,kallio
k694,245693,6710949,50.681,kallio
k695,245715,6710949,48.69,kallio
k696,245737,6710949,46.255,kallio
k697,245759,6710949,44.667,kallio
k698,245781,6710949,42.685,kallio
k699,245803,6710949,41.141,kallio
k700,245825,6710949,40.389,kallio
k701,245847,6710949,40.926,kallio
k702,245869,6710949,40.781,kallio
k703,245891,6710949,38.717,kallio
k704,245605,6710927,47.878,kallio
k705,245627,6710927,49.309,kallio
k706,245649,6710927,48.759,kallio
k707,245671,6710927,48.883,kallio
k708,245693,6710927,49.915,kallio
k709,245715,6710927,48.194,kallio
k710,245737,6710927,46.214,kallio
k711,245759,6710927,44.812,kallio
k712,245781,6710927,43.623,kallio
k713,245803,6710927,41.443,kallio
k714,245825,6710927,40.621,kallio
k715,245891,6710927,38.969,kallio
k716,245583,6710905,49.041,kallio
k717,245605,6710905,51.568,kallio
k718,245627,6710905,49.122,kallio
k719,245649,6710905,48.728,kallio
k720,245671,6710905,48.708,kallio
k721,245693,6710905,48.869,kallio
k722,245715,6710905,48.856,kallio
k723,245737,6710905,47.785,kallio
k724,245759,6710905,45.978,kallio
k725,245781,6710905,43.081,kallio
k726,245803,6710905,41.339,kallio
k727,245583,6710883,52.413,kallio
k728,245605,6710883,51.901,kallio
k729,245627,6710883,53.133,kallio
