PO,OM,Or,TY,TT,X,Y,Z,pvm,nro,AL,KL,SA,Si,KI,Sa,liSa,Hk,Sr,SrMr,Ki,Mr,Hksa,Sasi,Srmr,Hksr,Ka,Paattymissyvyys
,Kaarinan kaupunki,Kaarinan kaupunki,20005,SI  0 0,247614.8,6708864.376,29.291,14022022,84,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],5.00
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PA - 0,247628.107,6708978.595,29.144,12092022,3,000.00  -        Ma,,[],[],[],['000.40'],[],[],[],[],[],['004.40'],[],[],[],[],[],004.77
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247671.235,6709213.837,34.329,18022020,18,000.40  -,,[],[],[],"['001.14', '001.54']",[],[],[],[],['000.68'],"['001.74', '001.83', '002.10']",[],[],['000.94'],[],[],002.10
,Kaarinan kaupunki,Kaarinan kaupunki,20005,SI  0 0,247689.314,6709106.452,29.253,16022022,82,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247704.002,6708832.266,29.622,11022022,40,0.20,,[],[],[],['0.80'],[],[],[],[],[],['9.86'],[],[],[],[],[],9.88
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247532.287,6709264.979,28.925,17022020,24,000.40  -,,[],[],[],['000.80'],[],[],[],[],[],"['001.20', '001.26', '001.36']",[],[],[],[],[],001.36
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247856.753,6709348.456,41.166,14022022,1,0.20,,[],[],[],['0.40'],[],[],[],[],[],['0.62'],[],[],[],[],[],0.62
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PA - 0,247603.327,6708977.956,29.287,12092022,5,000.00  -        Ma,,[],[],[],['000.20'],[],[],[],[],[],['003.40'],[],[],[],[],[],003.46
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247608.004,6708932.185,29.627,11022022,45,0.20,,[],[],[],['0.80'],[],[],[],[],[],['1.48'],[],[],[],[],[],1.50
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247611.761,6708941.803,29.82,11022022,46,0.20,,[],[],[],[],[],[],[],[],"['0.26', '0.56', '0.92']",[],[],[],[],[],[],1.04
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA  0 0,247632.807,6708824.56,29.514,11022022,42,0.20,,[],[],[],['0.80'],[],[],[],[],[],['10.36'],[],[],[],[],[],10.38
,Kaarinan kaupunki,Kaarinan kaupunki,20005,SI  0 0,247757.31,6708937.957,29.249,15022022,83,0.00,,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],11.00
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247468.96,6709279.572,26.702,09022020,25,000.40  -,,[],[],[],"['000.60', '010.40', '018.60', '019.20']",[],['018.40'],[],[],[],"['021.00', '021.20', '021.23', '021.83']",[],[],[],[],[],021.83
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247481.095,6709270.133,26.785,09022020,85,000.60  -,,[],[],[],"['000.80', '008.40']",[],[],[],[],[],"['017.00', '017.24']",[],[],[],[],[],017.24
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247541.387,6709284.102,28.351,17022020,23,000.80  -,,[],[],[],[],[],[],[],[],['001.20'],[],['001.00.'],[],[],['001.59'],[],001.59
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247468.98,6709152.121,31.614,11022020,76,000.20  -,,[],[],[],[],[],[],[],[],['000.21'],[],[],[],[],[],[],000.21
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247553.41,6709163.031,30.131,10022020,30,000.20  -,,[],[],[],"['000.85', '001.45']",[],['001.65'],[],[],[],"['002.05', '002.44', '003.42']",[],[],[],[],[],003.42
,Kaarinan kaupunki,Kaarinan kaupunki,20463,PA - 0,247621.308,6708976.878,29.193,12092022,4,000.00  -        Ma,,[],[],[],['000.20'],[],[],[],[],[],['003.65'],[],[],[],[],[],003.62
,Kaarinan kaupunki,Kaarinan kaupunki,20005,PA - 0,247762.324,6708912.041,29.327,11022020,38,000.60  -,,[],[],[],['000.80'],[],['009.20'],[],[],[],['009.21'],[],[],[],[],[],009.21
